system:index,bottom_left,end_date,start_date,top_right,.geo
0,"[-77.43047330525349, 47.53999550727824]",2023-06-22T00:00:00,2023-05-01T00:00:00,"[-73.78301236775349, 49.71789364584409]","{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-77.43047330525349,47.53999550727824],[-73.78301236775349,47.53999550727824],[-73.78301236775349,49.71789364584409],[-77.43047330525349,49.71789364584409],[-77.43047330525349,47.53999550727824]]]}"
1,"[-76.24394986775349, 52.369380160592506]",2023-06-22T00:00:00,2023-05-01T00:00:00,"[-72.86016080525349, 53.4034594351856]","{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-76.24394986775349,52.369380160592506],[-72.86016080525349,52.369380160592506],[-72.86016080525349,53.4034594351856],[-76.24394986775349,53.4034594351856],[-76.24394986775349,52.369380160592506]]]}"
2,"[-74.92559049275349, 49.71789364584409]",2023-06-22T00:00:00,2023-05-01T00:00:00,"[-72.24492643025349, 51.14539618604943]","{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-74.92559049275349,49.71789364584409],[-72.24492643025349,49.71789364584409],[-72.24492643025349,51.14539618604943],[-74.92559049275349,51.14539618604943],[-74.92559049275349,49.71789364584409]]]}"
3,"[-72.94805143025349, 49.00236873986214]",2023-06-22T00:00:00,2023-05-01T00:00:00,"[-68.2459029927535, 50.19851313665844]","{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-72.94805143025349,49.00236873986214],[-68.2459029927535,49.00236873986214],[-68.2459029927535,50.19851313665844],[-72.94805143025349,50.19851313665844],[-72.94805143025349,49.00236873986214]]]}"
